epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,142.281,3.09687,3.75259,3.84271,0,0,0,0,4.31487,4.75602,4.39307,0.000411932,0.000411932,0.000411932
2,351.402,1.81243,2.28591,2.26342,0.30085,0.3231,0.21321,0.12403,1.65167,2.39641,1.97877,0.000746567,0.000746567,0.000746567
3,588.741,1.39412,1.79962,1.7492,0.30397,0.16097,0.12034,0.08219,1.45308,2.17853,1.79892,0.000998703,0.000998703,0.000998703
4,846.436,1.17951,1.50234,1.56134,0.25639,0.14242,0.11183,0.08833,1.1407,1.93507,1.55045,0.00087875,0.00087875,0.00087875
5,1175.12,1.05094,1.25986,1.4365,0.56599,0.21123,0.22966,0.1751,0.95879,1.16772,1.34442,0.000755,0.000755,0.000755
6,1448.85,0.99506,1.10735,1.36892,0.55559,0.20265,0.20709,0.15956,0.9308,1.23294,1.33438,0.00063125,0.00063125,0.00063125
7,1762.62,0.9316,1.01771,1.32106,0.42999,0.15788,0.15687,0.12493,0.93457,1.38067,1.32079,0.0005075,0.0005075,0.0005075
8,2133.36,0.8967,0.939,1.28652,0.61226,0.19121,0.21588,0.16871,0.8867,0.98754,1.27036,0.00038375,0.00038375,0.00038375
9,2486.9,0.86516,0.8851,1.25882,0.62007,0.16552,0.21091,0.16908,0.83048,0.86911,1.22768,0.00026,0.00026,0.00026
10,2856.05,0.83717,0.84704,1.23949,0.65614,0.22659,0.25502,0.20584,0.78989,0.91058,1.20815,0.00013625,0.00013625,0.00013625
