epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.6335,1.1664,2.12241,1.70889,0.39311,0.48539,0.42726,0.31892,1.17766,1.94546,1.72206,0.0002625,0.0002625,0.0002625
2,79.539,1.14567,1.59935,1.68124,0.57886,0.68181,0.63987,0.46112,1.07852,1.52139,1.57459,0.000484288,0.000484288,0.000484288
3,121.366,1.07783,1.40554,1.6114,0.65649,0.66269,0.7383,0.55996,0.94286,1.31037,1.49344,0.000651625,0.000651625,0.000651625
4,170.663,1.02193,1.31611,1.55203,0.74037,0.67197,0.75754,0.55857,1.02527,1.20601,1.50029,0.000764513,0.000764513,0.000764513
5,217.128,1.02424,1.2722,1.50678,0.73132,0.71149,0.79036,0.59022,0.9659,1.20526,1.44432,0.000755,0.000755,0.000755
6,269.808,0.98435,1.2025,1.51557,0.78686,0.69417,0.79165,0.59579,0.96487,1.13286,1.45237,0.00063125,0.00063125,0.00063125
7,310.025,0.96937,1.17957,1.46786,0.79449,0.72127,0.81237,0.61989,0.91625,1.05752,1.38172,0.0005075,0.0005075,0.0005075
8,357.248,0.96073,1.13829,1.43632,0.80965,0.72563,0.82311,0.62586,0.91102,1.07121,1.37892,0.00038375,0.00038375,0.00038375
9,404.541,0.95061,1.11719,1.40869,0.81848,0.72673,0.82883,0.64091,0.88466,1.0205,1.35266,0.00026,0.00026,0.00026
10,465.283,0.93197,1.09617,1.42621,0.81371,0.68551,0.78143,0.60802,0.88936,1.00599,1.35573,0.00013625,0.00013625,0.00013625
