epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,490.819,3.51421,620.351,4.36521,0.05863,0.04578,0.0133,0.00542,3.68889,267.59,4.00408,0.000407197,0.000407197,0.000407197
2,2909.35,3.4673,447.73,3.90765,0.00017,0.00649,0.00017,3e-05,3.24893,224.499,3.6224,0.000742301,0.000742301,0.000742301
3,2988.66,3.23895,419.764,3.4434,0.03749,0.01545,0.00515,0.00138,2.96024,223.451,3.05885,0.000994905,0.000994905,0.000994905
4,3081.33,3.1118,374.554,3.11954,0.02691,0.03427,0.0079,0.00251,2.93028,230.629,3.18886,0.00087875,0.00087875,0.00087875
5,3164.91,2.9207,354.173,2.86787,0.05863,0.0032,0.00314,0.00115,2.69085,199.656,2.93492,0.000755,0.000755,0.000755
6,3247.59,2.72819,313.403,2.74961,0.05146,0.00677,0.00571,0.00203,2.51938,174.354,2.76294,0.00063125,0.00063125,0.00063125
7,3337.54,2.64413,283.291,2.63793,0.04664,0.01265,0.00535,0.00171,2.37249,160.563,2.48924,0.0005075,0.0005075,0.0005075
8,3427.85,2.53377,255.017,2.54991,0.00192,0.1279,0.00268,0.00079,2.3035,147.164,2.3497,0.00038375,0.00038375,0.00038375
9,3518.75,2.416,235.329,2.4724,0.00266,0.19768,0.00387,0.00147,2.2008,136.248,2.36955,0.00026,0.00026,0.00026
10,3612.9,2.36064,221.064,2.42355,0.02413,0.00878,0.0038,0.00147,2.17603,129.859,2.30569,0.00013625,0.00013625,0.00013625
